Freq.	-V(out)/I(V1)
6.16595001861481e+003	(7.56243750702162e+001dB,-2.86331528973049e+001°)
6.30957344480192e+003	(7.55778539645827e+001dB,-2.81759843858902e+001°)
6.45654229034654e+003	(7.55323944678371e+001dB,-2.77250936159023e+001°)
6.60693448007595e+003	(7.54879630037449e+001dB,-2.72804372893231e+001°)
6.76082975391980e+003	(7.54445271511751e+001dB,-2.68419636510802e+001°)
6.91830970918935e+003	(7.54020557014180e+001dB,-2.64096131948734e+001°)
7.07945784384136e+003	(7.53605187065852e+001dB,-2.59833193859739e+001°)
7.24435960074989e+003	(7.53198875190471e+001dB,-2.55630093959369e+001°)
7.41310241300916e+003	(7.52801348216653e+001dB,-2.51486048447324e+001°)
7.58577575029182e+003	(7.52412346491478e+001dB,-2.47400225445714e+001°)
7.76247116628690e+003	(7.52031624001252e+001dB,-2.43371752415406e+001°)
7.94328234724280e+003	(7.51658948406722e+001dB,-2.39399723487865e+001°)
8.12830516164097e+003	(7.51294100987473e+001dB,-2.35483206680175e+001°)
8.31763771102669e+003	(7.50936876506046e+001dB,-2.31621250928621e+001°)
8.51138038202374e+003	(7.50587082987296e+001dB,-2.27812892911865e+001°)
8.70963589956079e+003	(7.50244541423834e+001dB,-2.24057163605763e+001°)
8.91250938133744e+003	(7.49909085405971e+001dB,-2.20353094541168e+001°)
9.12010839355908e+003	(7.49580560685933e+001dB,-2.16699723717398e+001°)
9.33254300796989e+003	(7.49258824679228e+001dB,-2.13096101142213e+001°)
9.54992586021434e+003	(7.48943745909867e+001dB,-2.09541293966249e+001°)
9.77237220955809e+003	(7.48635203406238e+001dB,-2.06034391184741e+001°)
9.99999999999998e+003	(7.48333086054158e+001dB,-2.02574507885105e+001°)
1.02329299228075e+004	(7.48037291914457e+001dB,-1.99160789022531e+001°)
1.04712854805090e+004	(7.47747727511816e+001dB,-1.95792412712199e+001°)
1.07151930523760e+004	(7.47464307102671e+001dB,-1.92468593029995e+001°)
1.09647819614318e+004	(7.47186951929580e+001dB,-1.89188582319567e+001°)
1.12201845430196e+004	(7.46915589468855e+001dB,-1.85951673009202e+001°)
1.14815362149688e+004	(7.46650152678882e+001dB,-1.82757198946015e+001°)
1.17489755493953e+004	(7.46390579257219e+001dB,-1.79604536258144e+001°)
1.20226443461741e+004	(7.46136810909226e+001dB,-1.76493103767383e+001°)
1.23026877081238e+004	(7.45888792639198e+001dB,-1.73422362966525e+001°)
1.25892541179416e+004	(7.45646472066487e+001dB,-1.70391817590830e+001°)
1.28824955169313e+004	(7.45409798772255e+001dB,-1.67401012810946e+001°)
1.31825673855640e+004	(7.45178723681303e+001dB,-1.64449534078346e+001°)
1.34896288259165e+004	(7.44953198484345e+001dB,-1.61537005654663e+001°)
